"SID","lat_WGS84","long_WGS84","POINT_X","POINT_Y"
200101,34.89075,-81.276066,1329329.673,1417763.341
200102,34.89186,-81.27742,1329189.248,1417867.094
200201,34.61823,-80.99649,1359155.325,1391606.758
200202,34.61823,-80.99542,1359251.448,1391622.061
200203,34.61789,-80.99578,1359225.087,1391579.36
200204,34.617556,-80.995051,1359296.45,1391552.897
200205,34.61735,-80.995621,1359248.866,1391521.991
200301,34.44975,-80.50545,1406307.993,1380152.283
200302,34.44991,-80.5051,1406336.573,1380175.116
200401,37.44315,-78.66647,1510667.994,1738566.283
200402,37.44347,-78.66624,1510681.312,1738605.206
200403,37.443161,-78.664995,1510794.892,1738590.943
200404,37.44302,-78.66564,1510742.17,1738565.15
200501,37.43596,-78.62376,1514495.282,1738453.7
200502,37.436959,-78.623678,1514481.993,1738565.097
200601,35.285163,-79.940941,1441346.024,1480782.715
200602,35.285354,-79.939523,1441468.484,1480825.294
200701,33.87099,-79.29047,1526801.014,1335133.349
200702,33.871589,-79.289781,1526851.611,1335210.319
200703,33.869569,-79.2869,1527151.627,1335034.378
200704,33.869665,-79.288334,1527020.072,1335021.897
200801,33.393347,-79.42761,1523655.089,1280393.696
200802,33.39369,-79.42717,1523688.485,1280438.471
200901,37.0882,-77.4389,1624055.693,1719742.947
200902,37.0877,-77.4391,1624049.29,1719684.567
200903,37.0874,-77.4381,1624142.197,1719668.68
200904,37.087336,-77.436993,1624239.215,1719680.565
200905,37.08753,-77.436336,1624291.749,1719713.119
201001,36.933358,-77.123483,1654716.782,1708169.592
201002,36.933739,-77.123215,1654731.541,1708216.109
201101,36.495045,-76.981156,1676788.745,1662531.535
201102,36.494716,-76.981945,1676727.44,1662481.496
201201,36.679001,-77.987215,1585302.321,1665482.631
201202,36.678592,-77.986397,1585382.082,1665451.277
201301,32.787551,-80.948088,1395759.035,1190353.315
201302,32.7877,-80.9474,1395819.677,1190379.835
201303,32.7877,-80.9477,1395792.091,1190375.429
201304,32.788185,-80.946759,1395870.083,1190442.682
201401,32.8921,-80.3126,1452245.536,1211388.497
201402,32.8917,-80.313,1452216.178,1211338.358
201501,33.0241,-80.3124,1449843.271,1225921.83
201502,33.0245,-80.3133,1449753.515,1225952.135
201503,33.0245,-80.312,1449872.566,1225971.968
201504,33.0242,-80.3138,1449713.227,1225911.481
201601,33.1911,-80.2611,1451467.985,1245091.251
201602,33.1944,-80.26,1451507.763,1245471.404
201701,33.1906,-80.1922,1457772.716,1246090.814
201702,33.1902,-80.1935,1457661.333,1246026.836
201801,33.1947,-80.1796,1458848.077,1246735.543
201802,33.1955,-80.1807,1458732.784,1246806.73
201901,33.410784,-79.59326,1508243.232,1279669.205
201902,33.411081,-79.594504,1508124.314,1279682.135
202001,33.371898,-79.499987,1517481.705,1276876.698
202002,33.371196,-79.499504,1517539.221,1276807.202
202101,33.589338,-79.562245,1507633.834,1299805.887
202102,33.588443,-79.562364,1507640.234,1299705.522
202201,34.830768,-78.587797,1570749.633,1452169.18
202202,34.830737,-78.588414,1570695.23,1452155.572
202301,35.527613,-79.071576,1513759.989,1521029.175
